EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes
1589386890.028755,1589386890.1289139,1.0,1589386890.136977,1589386890.237298,1.0
1589386890.413461,1589386890.512125,0.1,1589386890.523911,1589386890.625691,0.1
1589386890.752772,1589386890.848566,0.0,1589386890.854303,1589386890.85553,0.0
1589386891.074869,1589386891.1745112,1.1,1589386891.1902761,1589386891.279618,1.1
1589386891.652821,1589386891.753524,0.1,1589386891.7652678,1589386891.8618839,0.1
1589386891.9883788,1589386892.092088,0.1,1589386892.103704,1589386892.196862,0.1
1589386892.341713,1589386892.438354,1.1,1589386892.454278,1589386892.546907,1.1
1589386892.712779,1589386892.807901,0.1,1589386892.819555,1589386892.819674,0.1
1589386893.2843142,1589386893.385368,0.1,1589386893.397687,1589386893.494756,0.1
1589386893.661571,1589386893.662931,0.0,1589386893.666312,1589386893.767637,0.0
1589386893.97984,1589386894.081275,1.1,1589386894.097353,1589386894.186172,0.1
1589386894.34891,1589386894.445641,1.1,1589386894.461596,1589386894.557277,1.1
1589386894.95946,1589386895.058902,0.0,1589386895.0661771,1589386895.166732,0.0
1589386895.375273,1589386895.456165,0.1,1589386895.463885,1589386895.4820778,0.0
1589386895.713502,1589386895.8129358,1.1,1589386895.8274791,1589386895.924191,1.1
1589386896.083627,1589386896.181741,0.0,1589386896.187988,1589386896.290431,1.1
1589386896.695934,1589386896.794301,1.0,1589386896.805542,1589386896.899575,1.0
1589386897.068005,1589386897.160537,0.0,1589386897.167382,1589386897.1722162,0.0
1589386897.3886871,1589386897.489343,0.0,1589386897.497477,1589386897.5960581,0.0
1589386897.764927,1589386897.862968,1.0,1589386897.875597,1589386897.969558,1.0
1589386898.323201,1589386898.422674,1.1,1589386898.438368,1589386898.5314612,1.1
1589386898.670897,1589386898.768588,1.0,1589386898.7805781,1589386898.8796968,1.0
1589386899.018889,1589386899.114332,1.1,1589386899.128974,1589386899.223426,1.1
1589386899.3608131,1589386899.457809,1.1,1589386899.472954,1589386899.564227,1.0
1589386899.9392269,1589386900.03884,1.0,1589386900.0500212,1589386900.1453152,1.0
1589386900.329076,1589386900.333875,1.1,1589386900.347466,1589386900.436696,1.1
1589386900.59649,1589386900.6899562,1.1,1589386900.705159,1589386900.804559,1.1
1589386900.952992,1589386901.053684,0.1,1589386901.064121,1589386901.158643,0.1
1589386901.5165691,1589386901.617613,1.1,1589386901.632328,1589386901.722181,1.1
1589386902.092233,1589386902.192637,1.1,1589386902.207425,1589386902.297169,1.1
1589386902.437067,1589386902.540221,1.1,1589386902.554796,1589386902.644536,0.0
1589386903.007597,1589386903.109182,1.0,1589386903.120503,1589386903.2137291,1.1
1589386903.3519979,1589386903.454088,0.1,1589386903.4654799,1589386903.562918,0.0
1589386903.700581,1589386903.801981,1.1,1589386903.8170729,1589386903.912918,1.1
1589386904.063468,1589386904.166016,1.0,1589386904.177135,1589386904.271137,1.0
1589386904.6513438,1589386904.746815,1.0,1589386904.758296,1589386904.8560839,1.0
1589386904.987648,1589386905.0897,0.0,1589386905.0963242,1589386905.192957,0.0
1589386905.3398778,1589386905.439317,1.0,1589386905.4505181,1589386905.544692,1.0
1589386905.679206,1589386905.781516,1.1,1589386905.795786,1589386905.886324,1.1
1589386906.236817,1589386906.338402,1.0,1589386906.349757,1589386906.4479501,1.0
1589386906.5842519,1589386906.682703,0.0,1589386906.68963,1589386906.788707,0.0
1589386906.924045,1589386907.026811,0.1,1589386907.038121,1589386907.128047,0.1
1589386907.271914,1589386907.369706,0.1,1589386907.381888,1589386907.479519,1.0
1589386907.828044,1589386907.927805,0.0,1589386907.935246,1589386908.036177,0.0
1589386908.1952739,1589386908.2960289,0.0,1589386908.3022022,1589386908.400146,0.0
1589386908.550974,1589386908.648822,1.1,1589386908.66431,1589386908.756151,1.1
1589386908.898394,1589386908.996377,1.1,1589386909.010228,1589386909.1066282,1.0
1589386909.456338,1589386909.555068,0.1,1589386909.566734,1589386909.664315,1.0
1589386909.80242,1589386909.898224,0.1,1589386909.909361,1589386910.010591,0.1
1589386910.141814,1589386910.244971,0.1,1589386910.256598,1589386910.347594,0.1
1589386910.487493,1589386910.591109,0.1,1589386910.602174,1589386910.6954849,0.1
1589386911.054462,1589386911.154401,1.1,1589386911.1685052,1589386911.259257,0.0
1589386911.410471,1589386911.506363,1.0,1589386911.516599,1589386911.61488,0.1
1589386911.760635,1589386911.850823,1.0,1589386911.861792,1589386911.863155,1.0
1589386912.102763,1589386912.19791,1.0,1589386912.2082508,1589386912.308801,1.0
1589386912.679106,1589386912.7752,0.1,1589386912.786228,1589386912.883025,0.1
1589386913.041286,1589386913.1338382,0.0,1589386913.140796,1589386913.145965,0.0
1589386913.3802948,1589386913.477631,0.1,1589386913.4897559,1589386913.5879738,1.0
1589386913.730288,1589386913.828842,0.1,1589386913.839238,1589386913.934284,1.1
