EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes,# vote err,% vote err,transmission delay epr,transmission delay voting
1589386559.660956,1589386559.7628422,1.1,1589386559.776994,1589386559.8668082,1.0,1,0.5,0.10188627243041992,0.0898141860961914
1589386560.0045922,1589386560.1036081,0.1,1589386560.1157372,1589386560.212961,0.1,0,0.0,0.09901595115661621,0.09722375869750977
1589386560.348026,1589386560.449022,0.0,1589386560.455189,1589386560.5551,0.0,0,0.0,0.10099601745605469,0.09991097450256348
1589386560.8994088,1589386560.998111,1.1,1589386561.012749,1589386561.1038568,1.1,0,0.0,0.09870219230651855,0.09110784530639648
1589386561.241009,1589386561.3459918,0.0,1589386561.35279,1589386561.447472,0.1,1,0.5,0.10498285293579102,0.09468197822570801
1589386561.582817,1589386561.686534,0.0,1589386561.693423,1589386561.788117,0.0,0,0.0,0.10371685028076172,0.09469389915466309
1589386561.923991,1589386562.021545,0.0,1589386562.028655,1589386562.1301918,0.0,0,0.0,0.09755396842956543,0.10153675079345703
1589386562.4654331,1589386562.567245,1.0,1589386562.578681,1589386562.671617,1.0,0,0.0,0.10181188583374023,0.09293603897094727
1589386562.810802,1589386562.910025,0.0,1589386562.917561,1589386563.015077,0.0,0,0.0,0.09922289848327637,0.09751605987548828
1589386563.172859,1589386563.271133,0.1,1589386563.282069,1589386563.380799,0.1,0,0.0,0.09827399253845215,0.09873008728027344
1589386563.522364,1589386563.6248882,0.1,1589386563.6340292,1589386563.727412,0.1,0,0.0,0.1025242805480957,0.0933828353881836
1589386564.077358,1589386564.1758342,1.0,1589386564.187362,1589386564.284205,1.1,1,0.5,0.09847617149353027,0.09684300422668457
1589386564.419648,1589386564.51783,0.1,1589386564.5297039,1589386564.624214,0.0,1,0.5,0.09818196296691895,0.09451007843017578
1589386564.766706,1589386564.864424,1.0,1589386564.875927,1589386564.970796,1.0,0,0.0,0.0977180004119873,0.09486913681030273
1589386565.1003819,1589386565.1041229,0.0,1589386565.107469,1589386565.2038982,0.0,0,0.0,0.003741025924682617,0.09642910957336426
1589386565.538191,1589386565.636825,1.0,1589386565.64816,1589386565.742178,1.0,0,0.0,0.09863400459289551,0.09401798248291016
1589386565.8744152,1589386565.975672,0.0,1589386565.982628,1589386566.08208,0.0,0,0.0,0.1012568473815918,0.09945178031921387
1589386566.2161689,1589386566.316648,1.1,1589386566.331288,1589386566.421432,1.1,0,0.0,0.1004791259765625,0.09014391899108887
1589386566.562261,1589386566.665241,0.1,1589386566.676044,1589386566.76861,0.1,0,0.0,0.10297989845275879,0.09256601333618164
1589386567.115496,1589386567.215374,1.1,1589386567.229984,1589386567.322517,1.1,0,0.0,0.09987807273864746,0.09253287315368652
1589386567.459201,1589386567.558642,0.0,1589386567.565759,1589386567.6632051,0.0,0,0.0,0.0994408130645752,0.09744620323181152
1589386567.801733,1589386567.802437,0.1,1589386567.809296,1589386567.9047492,0.1,0,0.0,0.0007040500640869141,0.09545326232910156
1589386568.0295,1589386568.128748,1.1,1589386568.143549,1589386568.238122,1.1,0,0.0,0.09924793243408203,0.0945730209350586
1589386568.5855029,1589386568.6874712,1.0,1589386568.698723,1589386568.789082,1.0,0,0.0,0.10196828842163086,0.09035897254943848
1589386568.925434,1589386569.027313,1.0,1589386569.0384278,1589386569.13149,1.0,0,0.0,0.10187888145446777,0.09306216239929199
1589386569.267184,1589386569.36657,1.1,1589386569.3816261,1589386569.472418,1.1,0,0.0,0.09938597679138184,0.09079194068908691
1589386569.613132,1589386569.713521,0.0,1589386569.720473,1589386569.81961,0.0,0,0.0,0.10038900375366211,0.0991370677947998
1589386570.1594229,1589386570.260382,1.1,1589386570.274854,1589386570.365942,1.1,0,0.0,0.10095906257629395,0.09108805656433105
1589386570.500515,1589386570.595383,0.0,1589386570.6026518,1589386570.606611,0.0,0,0.0,0.09486794471740723,0.003959178924560547
1589386570.818361,1589386570.920063,1.0,1589386570.931838,1589386571.024516,1.0,0,0.0,0.10170197486877441,0.09267807006835938
1589386571.165974,1589386571.2625868,0.0,1589386571.269423,1589386571.270733,0.0,0,0.0,0.09661293029785156,0.001310110092163086
1589386571.7185102,1589386571.818592,0.0,1589386571.825585,1589386571.92316,0.0,0,0.0,0.1000819206237793,0.09757518768310547
1589386572.0596511,1589386572.156217,0.1,1589386572.167734,1589386572.263365,0.1,0,0.0,0.09656596183776855,0.09563112258911133
1589386572.4016798,1589386572.500541,1.1,1589386572.515131,1589386572.608499,1.0,1,0.5,0.0988612174987793,0.0933680534362793
1589386572.757746,1589386572.857536,0.0,1589386572.864933,1589386572.963375,0.0,0,0.0,0.09979009628295898,0.09844207763671875
1589386573.357128,1589386573.459712,0.0,1589386573.466822,1589386573.567421,0.0,0,0.0,0.1025841236114502,0.10059905052185059
1589386573.719358,1589386573.81158,1.1,1589386573.8270772,1589386573.922817,1.0,1,0.5,0.09222197532653809,0.09573984146118164
1589386574.0659158,1589386574.161411,1.1,1589386574.1783931,1589386574.271138,1.1,0,0.0,0.09549522399902344,0.09274482727050781
1589386574.40722,1589386574.5091689,1.1,1589386574.5242062,1589386574.614941,1.1,0,0.0,0.10194897651672363,0.09073472023010254
1589386574.975293,1589386575.070294,1.0,1589386575.0817542,1589386575.179091,0.1,2,1.0,0.0950009822845459,0.0973367691040039
1589386575.403618,1589386575.405067,0.0,1589386575.409228,1589386575.511125,1.0,1,0.5,0.0014488697052001953,0.10189700126647949
1589386575.7036521,1589386575.807041,0.1,1589386575.833547,1589386575.915566,0.1,0,0.0,0.10338878631591797,0.08201885223388672
1589386576.14654,1589386576.234981,0.0,1589386576.243184,1589386576.24882,0.0,0,0.0,0.08844113349914551,0.005635976791381836
1589386576.764189,1589386576.8658261,0.0,1589386576.872463,1589386576.968317,0.0,0,0.0,0.10163712501525879,0.09585404396057129
1589386577.106714,1589386577.203805,0.0,1589386577.211482,1589386577.316391,0.1,1,0.5,0.0970909595489502,0.10490894317626953
1589386577.4808252,1589386577.578275,0.0,1589386577.5849888,1589386577.587646,0.0,0,0.0,0.09744977951049805,0.002657175064086914
1589386577.818603,1589386577.9108539,0.0,1589386577.918964,1589386577.922475,0.0,0,0.0,0.09225082397460938,0.003511190414428711
1589386662.594558,1589386662.695329,1.0,1589386662.70681,1589386662.802169,1.0,0,0.0,0.10077095031738281,0.09535908699035645
1589386663.160613,1589386663.263653,1.0,1589386663.2748642,1589386663.366244,1.1,1,0.5,0.10303997993469238,0.09137988090515137
1589386663.50859,1589386663.6062038,0.1,1589386663.617839,1589386663.7142541,0.1,0,0.0,0.09761381149291992,0.09641504287719727
